term,estimate,std_error,conf_low,conf_high,seed,true_value,index
beta_logNI,1.137490846989979,0.06262344427973716,1.0147511516138432,1.2602305423661146,20191032,1,15
lambda,0.5028250041846758,0.010943758411859869,0.4813756318419232,0.5242743765274284,20191033,0.5,16
beta_0,-5.269689122675873,0.33093937614396457,-5.918318380984197,-4.621059864367548,20191033,-5,16
beta_logHI,2.094730131866633,0.10466105337382875,1.8895982366699042,2.2998620270633614,20191033,2,16
beta_logNI,1.0079146167643058,0.05875599571537398,0.8927549812863831,1.1230742522422286,20191033,1,16
lambda,0.49299133919754434,0.011338703801589195,0.47076788811506215,0.5152147902800266,20191034,0.5,17
beta_0,-5.2350074445643155,0.3447075230009154,-5.910621774846122,-4.559393114282509,20191034,-5,17
beta_logHI,2.095822297095631,0.10871713059220701,1.8827406366323673,2.3089039575588943,20191034,2,17
beta_logNI,1.0087924473392982,0.05915625873424735,0.8928483107600405,1.124736583918556,20191034,1,17
lambda,0.5039322894976538,0.011635456767045206,0.48112721329057234,0.5267373657047353,20191035,0.5,18
beta_0,-4.574467898178513,0.29087582139718254,-5.144574032090496,-4.00436176426653,20191035,-5,18
beta_logHI,1.8867019433154317,0.09341376673326639,1.7036143248580038,2.0697895617728594,20191035,2,18
beta_logNI,0.9518357459043172,0.05239127223996524,0.8491507392097523,1.0545207525988822,20191035,1,18
lambda,0.48282816993724054,0.01086140759379148,0.4615402022319994,0.5041161376424816,20191036,0.5,19
beta_0,-5.197126249130534,0.32232036591841917,-5.828862557814407,-4.565389940446661,20191036,-5,19
beta_logHI,2.0144246837960416,0.10009285221725008,1.8182462983403413,2.2106030692517415,20191036,2,19
beta_logNI,1.0414076646161599,0.05756684080255282,0.9285787299394055,1.1542365992929142,20191036,1,19
lambda,0.5054541165672839,0.011668887299412315,0.4825835177207789,0.5283247154137889,20191037,0.5,20
beta_0,-4.911285303007437,0.31081493201313365,-5.520471375610445,-4.30209923040443,20191037,-5,20
beta_logHI,1.96129836978726,0.0984738167688313,1.7682932355001542,2.1543035040743654,20191037,2,20
beta_logNI,1.0210173992512517,0.05528653141514257,0.91265778884743,1.1293770096550733,20191037,1,20
lambda,0.4832484709073945,0.011075882895725774,0.46154013933478877,0.5049568024800002,20191038,0.5,21
beta_0,-5.1347435888503945,0.33313855691495464,-5.787683162265353,-4.481804015435436,20191038,-5,21
beta_logHI,2.0073950425314853,0.10123954757877032,1.8089691754659663,2.205820909597004,20191038,2,21
beta_logNI,0.9985146825861149,0.05995589238870035,0.881003292843303,1.1160260723289266,20191038,1,21
lambda,0.5009205680408337,0.011945375119491156,0.47750806302481025,0.5243330730568573,20191039,0.5,22
beta_0,-4.6023855381505205,0.2975067820031455,-5.185488116033095,-4.0192829602679465,20191039,-5,22
beta_logHI,1.921789148230379,0.09488111862324297,1.7358255729159502,2.1077527235448077,20191039,2,22
beta_logNI,0.8999268748821662,0.051000554493488885,0.7999676248833556,0.9998861248809767,20191039,1,22
lambda,0.5156335627249372,0.011512049318733605,0.49307036067197046,0.5381967647779039,20191040,0.5,23
beta_0,-4.966122521978156,0.3164435541380266,-5.586340491228539,-4.345904552727774,20191040,-5,23
beta_logHI,1.9921946022290653,0.1004058990096916,1.7954026563347039,2.1889865481234265,20191040,2,23
beta_logNI,1.079389560104224,0.05987109152534396,0.9620443769994487,1.1967347432089994,20191040,1,23
lambda,0.488084832099639,0.011064229838714903,0.46639934009908435,0.5097703241001936,20191041,0.5,24
beta_0,-5.117207059079132,0.3217387255859462,-5.747803373659402,-4.486610744498862,20191041,-5,24
beta_logHI,2.0179697816113427,0.10098777884094921,1.820037372204386,2.215902191018299,20191041,2,24
beta_logNI,1.0217155771784519,0.05769888381878982,0.908627842945463,1.1348033114114409,20191041,1,24
lambda,0.48962329473517086,0.01123996583947889,0.46759336650233174,0.51165322296801,20191042,0.5,25
beta_0,-5.067802072296427,0.3270001041858502,-5.708710499441539,-4.426893645151315,20191042,-5,25
beta_logHI,2.0419217600889707,0.10414240814605225,1.8378063908594378,2.2460371293185037,20191042,2,25
beta_logNI,1.0166647378430895,0.05812514499430107,0.9027415470580908,1.1305879286280882,20191042,1,25
lambda,0.4923073251683859,0.01173148098751772,0.46931404494753476,0.5153006053892369,20191043,0.5,26
beta_0,-4.811996257251172,0.32274649810985995,-5.444567769682922,-4.179424744819422,20191043,-5,26
beta_logHI,1.9664241099471869,0.10301051496547538,1.7645272105859309,2.1683210093084426,20191043,2,26
beta_logNI,0.9747321242763664,0.05660060985193311,0.8637969674635745,1.085667281089158,20191043,1,26
lambda,0.5163235256608457,0.011407960328757953,0.49396433427941844,0.538682717042273,20191044,0.5,27
beta_0,-4.808523287245167,0.29497864554706993,-5.386670808725831,-4.230375765764504,20191044,-5,27
beta_logHI,1.9675221546586543,0.09455392304081868,1.7821998709016778,2.152844438415631,20191044,2,27
beta_logNI,1.0010637335237336,0.05462926572553483,0.8939923401998169,1.1081351268476503,20191044,1,27
lambda,0.5053832250774429,0.011563511087197522,0.4827191598117062,0.5280472903431797,20191045,0.5,28
beta_0,-4.768448845410492,0.2993158342282304,-5.355097100500385,-4.1818005903205995,20191045,-5,28
beta_logHI,1.9113128255605725,0.09358850269409572,1.727882730913115,2.09474292020803,20191045,2,28
beta_logNI,0.9873818606811058,0.05484697581927146,0.8798837634143946,1.094879957947817,20191045,1,28
lambda,0.4788011968362034,0.011481390403974438,0.45629808515196973,0.5013043085204371,20191046,0.5,29
beta_0,-4.987553215206732,0.31836629772104563,-5.611539692631338,-4.363566737782126,20191046,-5,29
beta_logHI,1.901287970668221,0.0961337730796446,1.7128692377341714,2.0897067036022707,20191046,2,29
beta_logNI,1.003864645793018,0.056615890551616,0.8928995393591892,1.1148297522268469,20191046,1,29
lambda,0.5027556938931202,0.011466111140128599,0.4802825290157347,0.5252288587705058,20191047,0.5,30
beta_0,-4.965438121195333,0.30317907179797315,-5.559658182785643,-4.371218059605022,20191047,-5,30
beta_logHI,1.9933308426398524,0.09622047978665586,1.8047421676828428,2.181919517596862,20191047,2,30
beta_logNI,1.0012282046980125,0.05488185740240048,0.8936617407846447,1.1087946686113805,20191047,1,30
lambda,0.49478995681839777,0.010917358184502008,0.4733923279704503,0.5161875856663453,20191048,0.5,31
beta_0,-5.271838563667666,0.32594181232279856,-5.910672776876065,-4.6330043504592675,20191048,-5,31
beta_logHI,2.0346056549272316,0.10105246483644888,1.8365464632987916,2.2326648465556715,20191048,2,31
beta_logNI,1.0381803841636734,0.05898982505306088,0.9225624516053555,1.1537983167219914,20191048,1,31
lambda,0.507871250754497,0.011827702130622713,0.48468938055860883,0.5310531209503851,20191049,0.5,32
beta_0,-4.733833559997289,0.31008835571427107,-5.3415955692225054,-4.126071550772073,20191049,-5,32
beta_logHI,1.9129647640296075,0.09607452401571485,1.724662157126978,2.101267370932237,20191049,2,32
beta_logNI,0.9513254682125855,0.05491922764542611,0.8436857599687938,1.058965176456377,20191049,1,32
lambda,0.5049242224580957,0.011579270531621654,0.4822292692488713,0.5276191756673201,20191050,0.5,33
beta_0,-4.635272920487339,0.2765016420098354,-5.177206180492804,-4.093339660481875,20191050,-5,33
beta_logHI,1.8402301202086786,0.08584408752476956,1.671978800374426,2.008481440042931,20191050,2,33
beta_logNI,0.9585186136599843,0.05073672444457742,0.8590764610550795,1.0579607662648889,20191050,1,33
lambda,0.5040494496116534,0.011705153317790713,0.4811077706752641,0.5269911285480428,20191051,0.5,34
beta_0,-4.902956475458133,0.3240266045842957,-5.538036950476154,-4.267876000440112,20191051,-5,34
beta_logHI,1.9545247488024664,0.09927217501419351,1.75995486110769,2.1490946364972427,20191051,2,34
beta_logNI,1.0115409078916502,0.05890728520492911,0.89608475046296,1.1269970653203405,20191051,1,34
lambda,0.4883893661596846,0.011095501954076532,0.4666425819393008,0.5101361503800684,20191052,0.5,35
beta_0,-5.4117508517546575,0.35265903272905946,-6.102949854726346,-4.720551848782969,20191052,-5,35
beta_logHI,2.0813072918597886,0.10970416614349952,1.8662910772645311,2.296323506455046,20191052,2,35
beta_logNI,1.0615123090974712,0.061562262458283036,0.9408524918724342,1.1821721263225082,20191052,1,35
lambda,0.4936720811948595,0.01115725653905212,0.47180426021204336,0.5155399021776756,20191053,0.5,36
beta_0,-4.935221807839,0.3112613350438402,-5.545282814304782,-4.325160801373219,20191053,-5,36
beta_logHI,1.9313470137798405,0.09531522721088308,1.7445326012682576,2.1181614262914232,20191053,2,36
